qbuy=222, qsell=448, result=3.72, curtime=23.06.01 07:47:04
time     oper price  orderid     q   qd  qr  canceltime orders   operations   status
19:07:27 s    5.32   36334836668 2   2   0   None       None         19:07:44     executed
16:45:36 b    5.316  36330394931 2   2   0   None       None         16:46:15     executed
16:45:38 s    5.316  36330395946 2   2   0   None       17:07:53     17:07:53     executed
19:07:28 s    5.32   36334837098 2   2   0   None       None         19:07:44     executed
17:16:55 b    5.32   36331589277 2   2   0   None       None         17:17:43     executed
17:16:57 s    5.32   36331589959 2   2   0   None       18:01:01     18:01:58     executed
19:07:29 s    5.32   36334837657 2   2   0   None       None         19:07:44     executed
18:00:38 b    5.32   36333164066 2   2   0   None       None         18:01:01     executed
18:00:40 s    5.324  36333164633 2   2   0   None       18:45:11     None         executed
19:07:31 s    5.324  36334838076 2   2   0   None       19:17:25     19:18:00     executed
19:07:32 b    5.324  36334838479 2   2   0   None       None         19:07:44     executed
19:07:34 s    5.33   36334839389 2   2   0   None       19:20:13     19:21:00     executed
19:18:34 b    5.33   36335005799 2   2   0   None       None         19:19:07     executed
19:18:35 s    5.336  36335005982 2   2   0   None       23:50:11     None         executed
19:18:53 b    5.33   36335008440 2   2   0   None       None         19:19:07     executed
19:18:54 s    5.33   36335008566 2   2   0   None       19:20:41     19:21:00     executed
19:19:05 b    5.33   36335010292 2   2   0   None       None         19:20:03     executed
19:19:07 s    5.336  36335010587 2   2   0   None       23:50:11     None         executed
19:26:55 b    5.33   36335079791 2   2   0   None       None         19:27:50     executed
19:26:57 s    5.33   36335079917 2   2   0   None       23:50:11     None         executed
19:31:27 b    5.32   36335180716 2   2   0   None       None         19:31:59     executed
19:31:28 s    5.324  36335182470 2   2   0   None       23:50:05     None         executed
19:38:02 b    5.32   36335276144 2   2   0   None       None         19:39:09     executed
19:38:03 s    5.32   36335276341 2   2   0   None       None         19:39:09     executed
19:38:10 b    5.32   36335277827 2   2   0   None       None         19:39:09     executed
19:38:12 s    5.324  36335278011 2   2   0   None       23:50:05     None         executed
19:38:40 b    5.32   36335285512 2   2   0   None       None         19:39:09     executed
19:38:41 s    5.32   36335286554 2   2   0   None       None         19:39:09     executed
19:38:59 b    5.32   36335295505 2   2   0   None       None         19:39:09     executed
19:39:00 s    5.324  36335295999 2   2   0   None       23:50:05     None         executed
19:45:58 b    5.316  36335392573 2   2   0   None       None         19:47:00     executed
19:46:00 s    5.32   36335392733 2   2   0   None       23:50:05     None         executed
19:46:07 b    5.31   36335394471 2   2   0   None       None         19:47:00     executed
19:46:08 s    5.316  36335394814 2   2   0   None       19:46:35     19:47:00     executed
19:48:09 b    5.316  36335421423 2   2   0   None       None         19:48:58     executed
19:48:10 s    5.32   36335421643 2   2   0   None       19:55:44     19:56:03     executed
19:56:02 b    5.32   36335505096 2   2   0   None       None         19:57:01     executed
19:56:03 s    5.324  36335505212 2   2   0   None       23:50:11     None         executed
20:02:09 b    5.32   36335561729 2   2   0   None       None         20:02:47     executed
20:02:11 s    5.32   36335562510 2   2   0   None       23:50:05     None         executed
20:12:19 b    5.31   36335673996 2   2   0   None       None         20:13:01     executed
20:12:20 s    5.316  36335674105 2   2   0   None       20:21:23     20:22:02     executed
20:14:44 b    5.316  36335702050 2   2   0   None       None         20:15:01     executed
20:14:45 s    5.32   36335702192 2   2   0   None       20:31:37     20:32:24     executed
20:15:30 b    5.31   36335707687 2   2   0   None       None         20:16:01     executed
20:15:31 s    5.316  36335707877 2   2   0   None       20:21:51     20:22:02     executed
20:21:22 b    5.316  36335774663 2   2   0   None       None         20:22:02     executed
20:21:23 s    5.32   36335774778 2   2   0   None       22:45:28     22:46:01     executed
21:21:46 b    5.316  36336189659 2   2   0   None       None         21:22:06     executed
21:21:47 s    5.316  36336189767 2   2   0   None       21:22:39     21:23:13     executed
21:21:54 b    5.316  36336190705 2   2   0   None       None         21:22:06     executed
21:21:55 s    5.32   36336190799 2   2   0   None       22:51:50     22:51:59     executed
21:22:29 b    5.316  36336196043 2   2   0   None       None         21:23:13     executed
21:22:31 s    5.316  36336196142 2   2   0   None       21:23:46     21:24:17     executed
21:22:37 b    5.31   36336196713 2   2   0   None       None         21:23:13     executed
21:22:39 s    5.32   36336196841 2   2   0   None       22:51:50     22:51:59     executed
21:22:46 b    5.316  36336197427 2   2   0   None       None         21:23:13     executed
21:22:47 s    5.31   36336197566 2   2   0   None       None         21:23:13     executed
21:22:54 b    5.316  36336201116 2   2   0   None       None         21:23:13     executed
21:22:55 s    5.316  36336201771 2   2   0   None       21:25:00     21:25:28     executed
22:45:51 b    5.32   36336680792 2   2   0   None       None         22:46:01     executed
22:45:52 s    5.32   36336680934 2   2   0   None       23:50:05     None         executed
23:32:50 b    5.32   36336936021 2   2   0   None       None         23:33:03     executed
23:32:51 s    5.316  36336936081 2   2   0   None       None         23:34:12     executed
23:33:02 b    5.32   36336936679 2   2   0   None       None         23:34:12     executed
23:33:03 s    5.32   36336936760 2   2   0   None       23:50:05     None         executed
23:33:10 b    5.32   36336937117 2   2   0   None       None         23:34:12     executed
23:33:11 s    5.316  36336937192 2   2   0   None       None         23:34:12     executed
23:33:24 b    5.316  36336938354 2   2   0   None       None         23:34:12     executed
23:33:25 s    5.32   36336938533 2   2   0   None       23:50:05     None         executed
23:33:32 b    5.316  36336939145 2   2   0   None       None         23:34:12     executed
23:33:33 s    5.316  36336939247 2   2   0   None       None         23:34:12     executed
23:33:46 b    5.316  36336940363 2   2   0   None       None         23:34:12     executed
23:33:47 s    5.32   36336940522 2   2   0   None       23:50:05     None         executed
23:43:20 b    5.316  36336998402 2   2   0   None       None         23:43:39     executed
23:43:21 s    5.316  36336998478 2   2   0   None       23:50:05     None         executed
23:43:28 b    5.31   36336999002 2   2   0   None       None         23:43:39     executed
23:43:29 s    5.32   36336999134 2   2   0   None       23:50:05     None         executed
23:43:38 b    5.316  36336999685 2   2   0   None       None         23:44:39     executed
23:43:39 s    5.316  36336999767 2   2   0   None       23:50:05     None         executed
23:43:46 b    5.316  36337000134 2   2   0   None       None         23:44:39     executed
23:43:47 s    5.32   36337000224 2   2   0   None       23:50:05     None         executed
23:44:51 b    5.31   36337004672 2   2   0   None       None         23:45:38     executed
23:44:52 s    5.316  36337004764 2   2   0   None       23:50:05     None         executed
